t,x,y,z,vx,vy,vz,qw,qx,qy,qz,wbx,wby,wbz,Fx,Fy,Fz,Tx,Ty,Tz
0.316666667,4.99311923,5.00001091,5.00027296,-0.0317712645,0.00010599333,0.00136727257,0.995445558,-3.56457648e-05,0.095331705,-7.41311423e-05,-0.000187720033,0.351099165,-0.000775261559,-0.0209135793,0.00063460248,1.70283807,-0.000427771284,-0.118028156,0.000508556522
0.333333333,4.99258416,5.00001285,5.00029605,-0.0321041144,0.000116093343,0.00138544886,0.995177741,-3.82192856e-05,0.0980880029,-7.99053319e-05,-0.000267026291,0.332314385,-0.000709782649,-0.0180780979,0.00127118485,1.7034856,-0.000167404259,-0.112241344,2.1905575e-05
0.35,4.99204429,5.00001512,5.00031962,-0.0323918363,0.000136324878,0.0014139309,0.994917292,-4.10044398e-05,0.100695443,-8.56774976e-05,-0.000290862479,0.314450616,-0.000712643783,-0.0125156745,0.00104860223,1.70177891,9.53357173e-05,-0.105437001,-0.000634876252
0.366666667,4.99150111,5.00001767,5.0003432,-0.0325910294,0.000153013901,0.00141525007,0.994664448,-4.35667586e-05,0.103163099,-9.2279858e-05,-0.000252751741,0.297669809,-0.000809677828,-0.00878968835,-0.000978287087,1.70392664,0.000617186824,-0.100170073,-0.000325862669
0.383333333,4.9909556,5.00001996,5.00036738,-0.0327309217,0.000137443978,0.00145075154,0.994419508,-4.52577788e-05,0.105498009,-9.92329059e-05,-0.000142900731,0.28172727,-0.000841355807,-0.00434210105,-0.000413117628,1.70229989,-0.000135235904,-0.0949496656,-0.000176163699
0.4,4.99040893,5.00002214,5.00039172,-0.0328000283,0.000130869007,0.00146036241,0.994182658,-4.70897785e-05,0.10770714,-0.000106442399,-0.000154935612,0.26661556,-0.000874328857,-0.00184633289,0.000916928932,1.70314648,-0.000148478552,-0.0892667919,-0.000103094383
0.416666667,4.98986177,5.00002457,5.00041645,-0.0328294136,0.000145462384,0.00148344718,0.993953907,-4.90900089e-05,0.109798063,-0.000113814119,-0.000171353446,0.252408307,-0.000896421496,0.000876600228,0.000230638676,1.70312667,-0.000529867979,-0.0853769445,-7.57683214e-05
0.433333333,4.98931485,5.00002705,5.00044155,-0.0328154621,0.000149133113,0.00150621672,0.993733422,-5.17646214e-05,0.111775977,-0.000121367966,-0.000247798319,0.238820128,-0.000927582872,0.00223416925,0.000107882221,1.70239721,-0.000138906819,-0.079593514,0.000180845007
0.45,4.98876852,5.00002957,5.00046684,-0.0327799042,0.000150850111,0.00151737656,0.993521003,-5.46361138e-05,0.113648568,-0.000128709066,-0.000272545409,0.226152418,-0.000905390511,0.00614357489,0.00156026567,1.70126253,-0.000435459628,-0.0762415954,0.0002183786
0.466666667,4.98822381,5.00003249,5.00049201,-0.0326821262,0.000175682511,0.00151047739,0.993316732,-5.81011278e-05,0.115420314,-0.00013583314,-0.000344655399,0.21401817,-0.00088814554,0.00875524928,-0.00108123942,1.69986025,0.000490153072,-0.0726383338,-0.000261871225
0.483333333,4.98768143,5.00003514,5.0005167,-0.0325427821,0.000158474051,0.00148126026,0.993120586,-6.08670537e-05,0.117096017,-0.000143232366,-0.000255892171,0.202457447,-0.000911797499,0.0124094469,-0.000216974474,1.70062263,0.000867857773,-0.0684444142,-0.00064396801
0.5,4.98714235,5.00003772,5.00054111,-0.0323452796,0.000155020795,0.00146417667,0.992932391,-6.2376691e-05,0.118681252,-0.000151350163,-9.44643596e-05,0.191564234,-0.000980304173,0.0147100794,0.00119697565,1.69963387,0.000332756714,-0.0653646935,-0.000557979913
