x,y,z,ux,uy,uz
1.37596189,8.00884184,5.95836597,-0.00412420183,0.0035065189,1.0064894
7.35838886,5.3954678,4.67583033,0.0322510526,0.00542186573,1.00770485
3.9512666,4.28794634,4.8264995,-0.0956673175,-0.064724654,1.00862312
7.118057,4.72056441,4.4791208,0.0417431593,-0.00557276979,1.00407434
6.5625463,8.62130252,5.68657154,0.00336755812,0.00761433877,1.0078969
3.13047727,5.40567043,3.08568728,-0.0228496864,0.00488787889,0.984518647
2.34691659,3.53002877,8.16109283,-0.000217560679,-0.000272713602,1.00764453
5.46955907,1.58173472,6.3016782,0.001197882,-0.00782940909,1.01100957
2.9702374,2.35093551,7.20621305,-0.00244540721,-0.00309455022,1.01083696
1.50571247,7.03292982,3.14837954,-0.00741070881,0.00426605344,1.00045931
8.26153892,2.53347434,7.58228822,0.00261581689,-0.00158859789,1.0083549
4.534764,4.8681839,8.46789589,0.0158170816,0.00496787392,0.732442558
6.33859088,7.86912009,3.22991025,0.00579545274,0.012283314,0.998080969
8.90853277,7.78633116,8.90377888,0.00105249509,0.000966569409,1.00704384
5.29806453,2.91147452,4.68325016,0.00624453276,-0.0423855372,1.00860488
7.0980567,1.75253946,6.3073155,0.00383210927,-0.00547673181,1.00915813
2.89825037,1.22144691,4.46968555,-0.00410687551,-0.00736770034,1.00399029
8.08716863,5.63802024,6.93942949,0.00520365313,0.00115953386,1.01179111
6.87406398,3.91594002,5.09817398,0.0312047303,-0.0179789178,1.01739085
7.69578347,7.37166559,6.88841704,0.00411072746,0.00357301906,1.01025784
8.86905914,8.70896315,5.93748895,0.00303631648,0.00302448869,1.00560319
8.15600835,6.42553784,6.4380885,0.00672921166,0.00316045433,1.01088357
4.21639156,5.57297231,3.96479839,-0.0844673663,0.0619739257,0.919390082
8.72352252,3.53569863,6.92839583,0.00444808602,-0.00163161755,1.00882232
4.86564004,8.62436029,4.51952392,-0.000556450337,0.012618646,1.00462151
3.9458537,1.15205306,5.93053371,-0.00200390816,-0.00725472718,1.00819576
5.45840094,4.00241976,4.03915177,0.0434716754,-0.0943038017,0.938617587
4.32887213,1.15687707,5.70469082,-0.00137214363,-0.00837903097,1.00811386
1.59415731,4.4727617,4.75539983,-0.0139095634,-0.00217122771,1.00577366
4.11191925,5.17313917,7.42173405,0.0372398198,-0.00705056265,0.764279425
2.55021776,6.29225587,7.63893085,-0.000690992922,0.000258173794,1.00857842
1.80681332,7.29709479,5.10725494,-0.00797046721,0.00584083609,1.00631893
2.61655593,4.47741927,8.77187602,0.00484853238,0.000817643479,0.991917133
6.96945212,4.82702503,5.88590835,0.0161138177,-0.00148244575,1.02025843
6.03235287,2.99174977,8.82887628,-0.00314423814,0.00638147071,0.983459234
8.04103467,3.67852156,5.57902859,0.011478696,-0.00481141731,1.01015043
4.0460136,6.77362558,7.42389696,0.00375349075,-0.00768562779,0.985893965
4.17205315,4.49413108,7.2464504,0.0352751091,0.0214609299,0.778270602
6.31657031,6.46997734,3.33929214,0.0187907852,0.0207356736,0.985864639
4.68565473,1.95154575,6.86658479,-0.000507805496,-0.00559302792,1.01241505
5.89148862,8.14856073,5.35170853,0.00376491994,0.0132910982,1.00964332
4.05367957,6.49269383,5.20299812,-0.0258714519,0.0405912548,1.02535725
2.96255165,7.90308853,5.40588501,-0.00655111298,0.00939116627,1.00866699
2.67865362,5.52977317,6.73810008,-0.00368214026,0.00060534291,1.01199996
8.2742345,4.46518984,6.88282636,0.00546658039,-0.000769130886,1.01133502
5.23242289,3.19776702,4.57533717,0.00792723522,-0.0592908598,1.00504088
4.82106259,4.71216145,8.99698643,0.00498249382,0.00847904757,0.747102976
2.14349619,6.42090793,5.33331394,-0.0130444579,0.0065271277,1.00981355
5.67337668,3.66701253,7.39307799,-0.0109833814,0.0216332078,0.917435765
8.35597623,7.15157719,8.73324464,0.000976577401,0.000781867653,1.0077374
1.55437756,2.90658826,3.44527566,-0.00773915276,-0.00477016717,1.00094759
6.34111976,1.29386388,4.27640932,0.00360766798,-0.00977379084,1.00353122
1.9870362,4.70831066,3.0314411,-0.013265986,-0.00129634142,0.996704698
7.12488756,7.51289216,3.34493526,0.00853816792,0.0101034176,0.998938501
5.96674522,2.56151386,6.11088259,0.0045328401,-0.0111651011,1.01667595
6.75373269,3.40737655,6.77843778,0.00250090286,-0.00215825811,1.011953
7.79277276,7.10896743,4.74850094,0.0110975988,0.00843369216,1.00584126
4.93345594,2.18683445,7.87473399,3.64817679e-05,-0.000228296965,1.00783682
5.88224799,5.54009881,3.96516548,0.0855762959,0.0516603626,0.929902196
8.44809341,8.95353886,7.33118041,0.00183369964,0.00218280777,1.00660002
1.75493773,3.75508007,4.92850119,-0.0126172788,-0.00489073619,1.00652111
4.64730459,2.53537386,6.20667353,-0.00154805928,-0.011211846,1.01679969
8.93414649,6.92011815,4.6890502,0.00754215568,0.00370062701,1.00449967
3.54885395,8.95020248,7.02076616,-0.00142555311,0.00379785337,1.00842047
4.39150544,8.75960508,4.29814577,-0.00183885172,0.011119457,1.0036428
1.98940787,3.49615222,6.6783355,-0.00553888828,-0.00283616781,1.01121509
5.2778629,8.5080658,5.94945391,0.00060673058,0.00917951763,1.01025271
8.48477574,6.30969108,7.29287644,0.00375609472,0.00143397972,1.00952268
3.37003526,3.14885168,7.35495603,0.000362820923,0.000272778794,1.00647855
4.74781412,4.69784525,5.42889046,0.0430572219,0.049632173,0.0966913849
7.24973585,4.96631985,5.89533244,0.0167091452,-0.000192843378,1.02014697
7.86842704,5.05596755,4.08765169,0.0209909603,0.000411503017,1.00124705
7.46361178,8.20073846,3.3723148,0.00557138771,0.00727108866,1.00099897
1.80679387,5.49720863,4.89708091,-0.0158403032,0.00235374086,1.00709283
4.55749636,2.09311604,3.29427482,-0.00236550346,-0.0153962076,0.997109711
2.48590498,5.02296889,7.26715327,-0.00075262785,-0.000221269205,1.00823236
1.26542596,1.98982366,4.15178672,-0.00505136326,-0.00428757817,1.00312483
1.45060019,5.34780064,3.44785066,-0.0116521083,0.00114924461,1.00006354
4.65969951,1.3701469,5.19322897,-0.00103507191,-0.0113803111,1.00735438
7.59698952,2.10809938,4.54877403,0.00736564025,-0.00792572275,1.00448787
4.06216003,4.98471547,4.7233975,-0.192356944,-0.00298813172,0.940825045
1.96506999,4.33393029,7.43048286,-0.00279022008,-0.000737518072,1.01044679
8.92888401,7.10831995,8.59296968,0.00143063068,0.000966887921,1.00748694
4.09179283,2.80660952,3.17314869,-0.00767002255,-0.0184518285,0.991583705
1.97257991,5.97045494,8.13626994,-0.000992618501,0.000319443643,1.00859284
7.13013146,4.01338604,5.65978539,0.0190083683,-0.00873169675,1.01952469
1.83831734,8.74125305,8.99938553,-0.000666003674,0.000882156193,1.00693846
2.82260538,2.25416017,3.64314174,-0.00784540549,-0.00976897404,1.00053644
8.62347613,8.75488453,7.70149428,0.00166509673,0.00184417702,1.00667989
3.01257711,6.89467525,5.40354407,-0.0139049925,0.0132608786,1.01354527
8.9133924,7.18447809,3.58949366,0.00655171648,0.00377008691,1.00190556
7.06934852,8.62028418,4.69835373,0.00456793979,0.00797497109,1.00473666
